Va,Vb,Vc,Ia,Ib,Ic,Type
133338.31,133338.7913,133338.8461,2638.951258,2638.823999,2638.834568,ABCG
133340.0105,133338.9365,133339.1682,2638.677393,2638.773319,2638.788228,ABCG
133337.1638,133338.713,133337.9788,2638.916759,2638.800935,2638.880679,ABCG
133340.7818,133338.856,133340.2906,2638.69209,2638.789176,2638.747235,ABCG
133337.0056,133338.9416,133336.8525,2638.843258,2638.784389,2638.878001,ABCG
133340.1968,133338.5196,133341.1581,2638.736288,2638.803148,2638.741644,ABCG
133338.2996,133339.3229,133336.4465,2638.77725,2638.781191,2638.840543,ABCG
133338.339,133338.1648,133340.9669,2638.77769,2638.810563,2638.758322,ABCG
133340.4481,133339.5829,133337.2515,2638.752339,2638.789984,2638.798487,ABCG
133336.2037,133338.052,133339.6192,2638.797788,2638.812028,2638.77638,ABCG
133342.2403,133339.5197,133338.9653,2638.772351,2638.803078,2638.778566,ABCG
133335.009,133338.2909,133337.7591,2638.799473,2638.811342,2638.782229,ABCG
133342.6536,133339.1325,133340.7162,2638.813686,2638.811625,2638.789089,ABCG
133335.4217,133338.7758,133336.3401,2638.799418,2638.811856,2638.777052,ABCG
133341.4744,133338.6136,133341.6232,2638.843201,2638.810795,2638.817716,ABCG
133337.184,133339.2609,133336.0359,2638.812496,2638.813926,2638.773101,ABCG
133339.3739,133338.222,133341.3159,2638.83934,2638.802025,2638.841685,ABCG
133339.3319,133339.5146,133336.8704,2638.839618,2638.815002,2638.782734,ABCG
133337.4474,133338.1275,133340.1025,2638.803819,2638.791414,2638.842975,ABCG
133340.8122,133339.4515,133338.2691,2638.866781,2638.811999,2638.808291,ABCG
133336.5486,133338.3235,133338.719,2638.758201,2638.785653,2638.818876,ABCG
133341.0861,133339.1634,133339.4569,2638.875094,2638.804056,2638.839562,ABCG
133336.8426,133338.6529,133337.8577,2638.729172,2638.788121,2638.782287,ABCG
133340.3576,133338.8436,133339.9247,2638.854344,2638.793721,2638.860099,ABCG
133337.8197,133338.9192,133337.7805,2638.732488,2638.797352,2638.752765,ABCG
133339.3334,133338.6606,133339.6768,2638.810867,2638.78572,2638.857823,ABCG
133338.7079,133339.0066,133338.2417,2638.765111,2638.808417,2638.744673,ABCG
133338.717,133338.6639,133339.1367,2638.764668,2638.784144,2638.832877,ABCG
133338.9843,133338.9335,133338.7283,2638.809087,2638.816051,2638.759716,ABCG
133338.7768,133338.7761,133338.81,2638.737838,2638.78989,2638.797796,ABCG
133338.6597,133338.8174,133338.8311,2638.843379,2638.817474,2638.787683,ABCG
133339.2474,133338.8642,133338.9434,2638.74173,2638.799996,2638.770115,ABCG
133338.1866,133338.7814,133338.4997,2638.855666,2638.813381,2638.813876,ABCG
133339.5848,133338.8366,133339.3935,2638.770811,2638.809287,2638.762211,ABCG
133338.0931,133338.8703,133338.0343,2638.847231,2638.806816,2638.827926,ABCG
133339.3755,133338.7016,133339.7662,2638.806667,2638.813298,2638.77466,ABCG
133338.604,133339.0265,133337.8463,2638.829119,2638.800995,2638.828548,ABCG
133338.6207,133338.5536,133339.7094,2638.829291,2638.810716,2638.796866,ABCG
133339.4962,133339.1371,133338.1646,2638.813305,2638.797539,2638.82201,ABCG
133337.7224,133338.5031,133339.1572,2638.82857,2638.803912,2638.81417,ABCG
133340.2616,133339.1141,133338.8817,2638.805152,2638.796126,2638.816226,ABCG
133337.2059,133338.6004,133338.3707,2638.809169,2638.797345,2638.81677,ABCG
133340.4484,133338.9532,133339.6291,2638.801762,2638.795487,2638.814925,ABCG
133337.3747,133338.8034,133337.7629,2638.786408,2638.794893,2638.805039,ABCG
133339.9493,133338.7354,133340.0181,2638.796432,2638.794813,2638.815723,ABCG
133338.1268,133339.0068,133337.6356,2638.776209,2638.797703,2638.788354,ABCG
133339.0544,133338.5727,133339.8803,2638.785364,2638.794506,2638.812968,ABCG
133339.0369,133339.1098,133338.0011,2638.785528,2638.803765,2638.778652,ABCG
133338.2507,133338.5386,133339.3553,2638.771597,2638.795761,2638.802938,ABCG
133339.637,133339.0771,133338.5972,2638.808864,2638.809325,2638.782963,ABCG
133337.913,133338.6264,133338.7798,2638.763417,2638.79938,2638.787527,ABCG
133339.7009,133338.954,133339.0715,2638.832431,2638.811152,2638.79948,ABCG
133338.0902,133338.7615,133338.4633,2638.768466,2638.804756,2638.773781,ABCG
133339.3541,133338.8301,133339.2065,2638.842854,2638.808307,2638.81921,ABCG
133338.5146,133338.8554,133338.5002,2638.787739,2638.809824,2638.769576,ABCG
133338.9505,133338.7779,133339.0387,2638.834851,2638.802425,2638.83175,ABCG
133338.8132,133338.8632,133338.7374,2638.813734,2638.812127,2638.77835,ABCG
133338.8141,133338.8083,133338.8032,2638.813454,2638.796541,2638.831368,ABCG
133338.7679,133338.8079,133338.9055,2638.834218,2638.810325,2638.796444,ABCG
133339.0213,133338.8705,133338.752,2638.790023,2638.793278,2638.819721,ABCG
133338.4526,133338.7576,133338.8166,2638.839331,2638.805157,2638.814894,ABCG
133339.3662,133338.8926,133338.9744,2638.775101,2638.793543,2638.803952,ABCG
133338.1638,133338.7739,133338.4957,2638.827523,2638.799184,2638.824611,ABCG
133339.5194,133338.8349,133339.3365,2638.772764,2638.796393,2638.791814,ABCG
133338.2016,133338.8673,133338.1602,2638.806533,2638.795404,2638.821714,ABCG
133339.2668,133338.7186,133339.5774,2638.779685,2638.799977,2638.787157,ABCG
133338.6532,133338.9886,133338.0676,2638.78874,2638.795555,2638.809662,ABCG
133338.6662,133338.6122,133339.4898,2638.788852,2638.802794,2638.788535,ABCG
133339.324,133339.0619,133338.3374,2638.783764,2638.799137,2638.796913,ABCG
133338.018,133338.5857,133339.0644,2638.794935,2638.804434,2638.791428,ABCG
133339.8575,133339.0352,133338.8657,2638.792881,2638.803745,2638.791608,ABCG
133337.6754,133338.664,133338.5021,2638.797539,2638.805412,2638.792166,ABCG
133339.962,133338.9151,133339.3873,2638.808639,2638.806518,2638.79663,ABCG
133337.8207,133338.81,133338.0895,2638.800373,2638.806362,2638.790712,ABCG
133339.5936,133338.763,133339.6404,2638.819763,2638.805813,2638.808047,ABCG
133338.3541,133338.9481,133338.0214,2638.807294,2638.807284,2638.790411,ABCG
133338.9768,133338.6563,133339.5274,2638.818214,2638.802115,2638.817813,ABCG
133338.9653,133339.0114,133338.2855,2638.818326,2638.80742,2638.795046,ABCG
133338.455,133338.6408,133339.1646,2638.804036,2638.797671,2638.818898,ABCG
133339.3344,133338.9822,133338.6836,2638.828664,2638.805865,2638.805393,ABCG
133338.2728,133338.7046,133338.7961,2638.785109,2638.795112,2638.809628,ABCG
133339.3296,133338.8986,133338.9684,2638.831504,2638.802445,2638.817832,ABCG
133338.4323,133338.7907,133338.6303,2638.772198,2638.795926,2638.794599,ABCG
133339.0729,133338.8261,133339.0049,2638.822832,2638.798181,2638.826111,ABCG
133338.7146,133338.8374,133338.7084,2638.772487,2638.799681,2638.78175,ABCG
133338.8365,133338.8116,133338.8486,2638.804831,2638.79493,2638.825221,ABCG
133338.8462,133338.8203,133338.8915,2638.78561,2638.804407,2638.777573,ABCG
133338.8445,133338.8533,133338.6938,2638.785425,2638.794355,2638.814811,ABCG
133338.694,133338.7664,133338.9685,2638.804398,2638.807821,2638.783477,ABCG
133339.1142,133338.9043,133338.7281,2638.773971,2638.796866,2638.799828,ABCG
133338.3598,133338.7336,133338.8112,2638.819575,2638.808599,2638.795442,ABCG
133339.4429,133338.9069,133338.9947,2638.775735,2638.80124,2638.787814,ABCG
133338.1105,133338.768,133338.4716,2638.825228,2638.806943,2638.806936,ABCG
133339.5479,133338.8353,133339.3538,2638.788649,2638.805228,2638.784482,ABCG
133338.193,133338.8698,133338.1544,2638.821626,2638.804186,2638.813034,ABCG
133339.2645,133338.7163,133339.5702,2638.804516,2638.806825,2638.790338,ABCG
133338.6574,133338.9891,133338.0846,2638.813911,2638.801793,2638.813048,ABCG
133338.67,133338.6147,133339.4685,2638.813977,2638.80543,2638.800508,ABCG
133339.3072,133339.0567,133338.3567,2638.807881,2638.800463,2638.81014,ABCG
133338.0507,133338.5928,133339.0538,2638.812199,2638.802193,2638.807891,ABCG
133339.8114,133339.0276,133338.8642,2638.805933,2638.799908,2638.808419,ABCG
133295.8464,133298.998,133299.9354,2394.845974,2394.792226,2394.806128,ABCG
133305.3215,133300.6079,133301.5125,2394.746101,2394.773309,2394.792831,ABCG
133294.92,133299.4752,133297.471,2394.833166,2394.783223,2394.824409,ABCG
133305.1582,133299.9707,133303.699,2394.735615,2394.777339,2394.769003,ABCG
133296.1021,133300.2078,133295.7412,2394.804031,2394.776347,2394.826729,ABCG
133302.8877,133299.2096,133304.6747,2394.744497,2394.784311,2394.754204,ABCG
133299.1534,133300.911,133295.591,2394.771488,2394.774153,2394.813642,ABCG
133299.2063,133298.6372,133303.8554,2394.767345,2394.79146,2394.752675,ABCG
133302.9779,133301.2782,133297.2659,2394.748791,2394.777139,2394.791852,ABCG
133295.5076,133298.519,133301.3798,2394.794378,2394.796283,2394.763242,ABCG
133306.0279,133301.1169,133300.2421,2394.744063,2394.783675,2394.770977,ABCG
133293.3306,133298.95,133298.1163,2394.815679,2394.797414,2394.780508,ABCG
133306.9449,133300.4438,133303.3893,2394.757347,2394.79081,2394.759335,ABCG
133293.6996,133299.7991,133295.3445,2394.824876,2394.794947,2394.79751,ABCG
133305.1646,133299.4947,133305.4133,2394.781254,2394.795579,2394.760594,ABCG
133296.6435,133300.748,133294.2345,2394.820891,2394.790187,2394.808565,ABCG
133301.2149,133298.6385,133305.3994,2394.804689,2394.79624,2394.772652,ABCG
133301.1185,133301.4152,133295.3409,2394.807384,2394.784996,2394.81114,ABCG
133296.5593,133298.2291,133303.2238,2394.817879,2394.792915,2394.789056,ABCG
133305.3876,133301.5132,133298.3331,2394.790505,2394.781067,2394.806161,ABCG
133293.0316,133298.4555,133299.6475,2394.816455,2394.787407,2394.802189,ABCG
133307.7134,133300.9741,133302.0908,2394.776146,2394.779387,2394.796909,ABCG
133292.0889,133299.2549,133296.0397,2394.802894,2394.782311,2394.806715,ABCG
133307.08,133299.9872,133305.1357,2394.767912,2394.780066,2394.787225,ABCG
133294.1932,133300.3288,133293.8352,2394.784858,2394.779835,2394.801749,ABCG
133303.6382,133298.9308,133306.2291,2394.766475,2394.782505,2394.779919,ABCG
133298.5894,133301.2582,133293.9453,2394.771334,2394.780858,2394.790896,ABCG
133298.6766,133298.2216,133304.8866,2394.770292,2394.785759,2394.776041,ABCG
133303.5833,133301.6718,133296.3728,2394.768414,2394.784617,2394.780232,ABCG
133294.1226,133298.1463,133301.5928,2394.777009,2394.788904,2394.775147,ABCG
